OBJECTID;LAND;BEZ;LOR;STRASSE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
197996;11;8;8020619;Buschkrugallee Nord;2019;8;14;5;3;5;2;0;1;1;0;0;0;0;0;802612,8087;5820747,366;13,45425;52,4529
197997;11;11;11010204;Falkenberg Ost;2019;8;13;5;3;5;3;0;1;1;0;0;0;0;0;806721,0308;5833968,491;13,5267;52,5691
197998;11;1;1022106;Elberfelder Straße;2019;8;10;5;3;5;2;0;1;1;0;0;0;0;0;793842,8454;5827938,222;13,33191;52,52215
197999;11;7;7020203;Kaiser-Wilhelm-Platz;2019;8;21;5;3;6;7;2;1;0;1;0;0;0;0;795605,2521;5824203,297;13,35449;52,48771
198000;11;4;4031032;Halensee;2019;8;19;5;2;5;2;0;0;1;0;1;0;0;0;790958,544;5824828,662;13,2868;52,49582
198001;11;6;6040810;Dahlem;2019;8;8;5;3;5;5;0;1;1;0;0;0;0;0;792390,0143;5821311,806;13,30474;52,46352
198002;11;12;12304313;Borsigwalde;2019;8;10;5;2;5;3;0;0;1;0;0;0;0;0;792143,1969;5834902,424;13,31306;52,58549
198003;11;3;3051017;Rennbahnstraße;2019;8;8;5;3;5;3;0;1;0;0;0;0;0;0;802905,2808;5833190,584;13,46986;52,56427
198004;11;3;3061430;Volkspark Prenzlauer Berg;2019;8;8;5;3;5;7;0;0;1;0;1;0;0;0;802577,2722;5829421,258;13,46161;52,53066
198005;11;1;1011201;Wilhelmstraße;2019;8;9;5;3;0;1;0;1;0;0;0;0;0;1;797045,1174;5826556,027;13,37774;52,50802
198006;11;8;8020622;Parchimer Allee;2019;8;8;5;3;2;6;0;0;1;0;0;0;0;0;801289,3341;5819652,694;13,43385;52,44382
198007;11;5;5010205;An der Tränke;2019;8;8;5;3;5;3;0;1;1;0;0;0;0;0;780096,1591;5830192,289;13,13174;52,5496
198008;11;10;10010204;Wuhletalstraße;2019;8;6;5;2;6;4;0;0;1;1;0;0;0;0;809583,1292;5832688,2;13,5676;52,55601
198009;11;5;5030731;Gartenfelder Straße;2019;8;8;4;3;6;7;0;1;0;1;0;0;0;0;786952,3021;5829373,308;13,23187;52,53868
198010;11;1;1011203;Unter den Linden Süd;2019;8;14;4;3;5;2;0;1;0;0;0;0;0;1;797883,4172;5827468,3;13,39087;52,51574
198011;11;9;9020601;Schnellerstraße;2019;8;12;4;2;6;7;0;1;0;1;0;0;0;0;806755,6134;5821023,154;13,51528;52,45306
198012;11;7;7040405;Rathaus Tempelhof;2019;8;11;4;3;3;6;0;0;1;0;0;0;0;0;798871,0405;5821208,386;13,39976;52,45909
198013;11;4;4051446;Preußenpark;2019;8;11;4;2;6;4;0;0;1;1;0;0;0;0;792379,5086;5825041,82;13,30786;52,49697
198014;11;2;2020203;Viktoriapark;2019;8;11;4;3;2;6;0;0;1;0;0;0;0;0;797294,6702;5824859,541;13,37989;52,49268
198015;11;2;2020204;Urbanstraße;2019;8;9;4;3;6;4;0;1;0;1;0;0;0;0;798646,6606;5825146,559;13,4;52,49451
198016;11;8;8020728;Buckow Ost;2019;8;9;4;3;6;4;0;0;1;1;0;0;0;0;802450,0222;5817211,62;13,44866;52,4213
198017;11;4;4030724;Lietzensee;2019;8;9;4;3;5;7;0;0;1;0;0;0;0;0;791053,258;5826041,686;13,28925;52,50664
198018;11;4;4051446;Preußenpark;2019;8;9;4;3;5;3;0;1;1;0;0;0;0;0;792912,4407;5824395,27;13,31512;52,49089
198019;11;6;6030608;Schweizer Viertel;2019;8;9;4;2;5;3;0;1;1;0;0;0;0;0;791931,0031;5817469,527;13,29465;52,42932
198020;11;1;1011402;Arkonaplatz;2019;8;8;4;3;0;6;0;0;1;0;1;0;0;0;798153,3287;5829856,451;13,39697;52,537
198021;11;1;1011201;Wilhelmstraße;2019;8;7;4;3;2;2;0;0;1;0;1;0;0;0;797471,6288;5826797,767;13,38422;52,50996
198022;11;8;8010510;Gewerbegebiet Köllnische Heide;2019;8;3;4;3;5;3;2;1;1;0;0;0;0;0;802944,2055;5822480,612;13,46069;52,46825
198023;11;1;1011103;Lützowstraße;2019;8;20;4;3;5;3;0;0;1;0;1;0;0;0;795948,4133;5825842,049;13,36099;52,50222
198024;11;4;4051653;Prager Platz;2019;8;7;4;3;5;2;0;0;1;0;0;0;0;0;793959,4928;5824711,478;13,33077;52,49316
198025;11;12;12231101;Hermsdorf;2019;8;12;4;3;5;3;0;0;1;0;0;0;0;0;791063,3653;5838521,126;13,30035;52,61851
198026;11;12;12214424;Scharnweberstraße;2019;8;12;4;3;0;1;0;1;0;0;0;0;0;0;793166,4873;5832631,332;13,32611;52,56458
198027;11;3;3040512;Wilhelmsruh;2019;8;7;4;3;2;6;0;0;1;0;0;0;0;0;796351,7231;5835763,049;13,37577;52,59093
198028;11;6;6020301;Alt-Lankwitz;2019;8;2;4;3;9;1;2;0;1;0;0;0;0;0;795797,0108;5819015,273;13,35271;52,4411
198029;11;2;2020204;Urbanstraße;2019;8;16;4;3;5;3;0;0;1;0;0;0;0;0;798432,2293;5824775,349;13,39652;52,4913
198030;11;3;3040818;Pankow Süd;2019;8;8;4;3;3;6;0;1;1;0;0;0;0;0;799817,8277;5832027,341;13,4234;52,55555
198031;11;1;1011402;Arkonaplatz;2019;8;15;4;3;6;7;0;0;0;1;0;0;1;0;798796,2729;5829200,867;13,40584;52,53077
198032;11;7;7020204;Schöneberger Insel;2019;8;15;4;3;3;7;0;1;0;0;0;0;0;0;796253,8663;5823582,794;13,36347;52,4818
198033;11;1;1011204;Leipziger Straße;2019;8;15;4;3;5;2;0;1;0;0;0;0;1;1;798118,3084;5826806,719;13,39373;52,50968
198034;11;2;2030402;Wrangelkiez;2019;8;14;4;3;0;6;0;1;1;0;0;0;0;0;801840,4319;5825742,687;13,44744;52,4981
198035;11;1;1011303;Alexanderplatzviertel;2019;8;14;4;3;0;1;0;0;0;0;1;0;0;1;799539,2574;5828242,843;13,41589;52,52178
198036;11;7;7050501;Rathausstraße;2019;8;14;4;3;0;3;0;1;1;0;0;0;0;1;797341,9626;5818651,203;13,37505;52,437
198037;11;2;2020204;Urbanstraße;2019;8;14;4;3;0;2;0;0;0;0;1;0;1;1;798295,634;5825321,221;13,395;52,49627
198038;11;3;3061430;Volkspark Prenzlauer Berg;2019;8;14;4;3;5;2;0;1;1;0;0;0;0;1;802417,5389;5829233,88;13,45909;52,52907
198039;11;4;4030623;Ernst-Reuter-Platz;2019;8;19;4;3;5;2;0;1;1;0;0;0;0;0;793021,543;5826957,25;13,31898;52,5138
198040;11;5;5020419;Magistratsweg;2019;8;18;4;3;5;3;0;0;1;0;0;0;0;0;780874,55;5828327,515;13,14161;52,53247
198041;11;11;11041128;Sewanstraße;2019;8;17;4;3;5;3;0;0;1;0;1;0;0;0;806669,2935;5825621,953;13,51824;52,49433
198042;11;11;11030720;Herzbergstraße;2019;8;13;4;3;5;7;0;0;1;0;0;1;0;1;804930,4818;5828708,41;13,49554;52,52296
198043;11;10;10040828;Kaulsdorf Nord;2019;8;13;4;3;5;7;0;0;1;0;0;0;0;0;811564,5324;5828250,804;13,59257;52,51511
198044;11;1;1022106;Elberfelder Straße;2019;8;13;4;3;5;2;0;1;1;0;0;0;0;0;794317,3858;5828375,768;13,33927;52,52581
198045;11;1;1022104;Emdener Straße;2019;8;5;3;3;5;3;1;0;1;0;1;0;0;0;793962,1842;5829147,045;13,33473;52,53292
198046;11;6;6010209;Feuerbachstraße;2019;8;12;3;2;1;5;0;1;1;0;0;0;0;0;794162,7871;5821472,77;13,3309;52,46402
198047;11;4;4051653;Prager Platz;2019;8;15;3;3;0;6;0;0;1;0;1;0;0;1;793977,1132;5824687,009;13,33101;52,49293
198048;11;7;7020202;Volkspark (Rudolf-Wilde-Park);2019;8;16;3;3;1;7;0;0;1;0;0;0;0;0;795295,2721;5823410,803;13,34924;52,48078
198049;11;4;4020310;Park Ruhwald;2019;8;10;3;3;2;2;0;0;1;0;1;0;0;0;790346,2112;5827318,973;13,27998;52,51847
198050;11;1;1011203;Unter den Linden Süd;2019;8;20;3;3;5;3;2;1;1;0;0;0;0;0;797877,4444;5827467,313;13,39078;52,51574
198051;11;7;7010104;Dennewitzplatz;2019;8;20;3;3;3;6;0;1;0;0;0;0;1;0;796278,4867;5824923,285;13,36502;52,4938
198052;11;6;6030501;Berlepschstraße;2019;8;19;3;3;1;1;0;0;1;0;0;0;0;0;789009,5406;5817158,507;13,25153;52,42809
198053;11;7;7030301;Friedenau;2019;8;19;3;3;2;6;0;0;1;0;0;0;0;0;794252,3651;5822055,721;13,33273;52,46919
198054;11;5;5010314;Carl-Schurz-Straße;2019;8;18;3;3;0;2;0;0;1;0;0;0;1;0;784994,7893;5829498,224;13,20319;52,54083
198055;11;5;5020625;Borkumer Straße;2019;8;18;3;3;0;4;0;1;0;1;0;0;0;0;784457,8651;5828663,714;13,19458;52,53363
198056;11;1;1011301;Charitéviertel;2019;8;18;3;3;2;2;0;1;1;0;0;0;0;0;797511,7446;5828326,84;13,38617;52,52364
198057;11;1;1033203;Humboldthain Nordwest;2019;8;18;3;3;5;3;0;1;1;0;0;0;0;0;796637,6403;5829799,464;13,37464;52,53732
198058;11;2;2020206;Graefekiez;2019;8;16;3;3;0;7;0;1;1;0;0;0;0;1;799660,0378;5825045,622;13,41479;52,49305
198059;11;2;2020206;Graefekiez;2019;8;17;3;2;2;6;0;0;0;0;1;0;1;0;799354,6489;5824553,973;13,40986;52,48882
198060;11;9;9031101;Grünau;2019;8;17;3;3;3;6;0;1;1;0;0;0;0;0;812272,4861;5816664,686;13,59213;52,41088
198061;11;1;1011105;Nördlicher Landwehrkanal;2019;8;17;4;3;5;2;0;1;1;0;0;0;0;0;796110,1835;5826714,408;13,36414;52,50995
198062;11;1;1011204;Leipziger Straße;2019;8;17;3;3;0;3;0;0;1;0;1;0;0;1;798147,1841;5826702,157;13,39406;52,50873
198063;11;4;4030620;Alt-Lietzow;2019;8;17;3;3;5;7;0;1;1;0;0;0;0;0;792926,052;5827451,134;13,31801;52,51827
198064;11;1;1022202;Heidestraße;2019;8;17;4;3;0;2;0;1;1;0;0;0;0;0;795668,9129;5829732,336;13,36034;52,53724
198065;11;3;3061126;Arnimplatz;2019;8;17;3;3;5;2;0;1;1;0;0;0;0;0;798411,9276;5831802,081;13,40252;52,5543
198066;11;7;7070702;Alt-Lichtenrade/Töpchiner Weg;2019;8;17;4;3;5;3;0;1;1;0;0;0;0;0;800641,0362;5814918,821;13,42008;52,40174
