OBJECTID;LAND;BEZ;LOR;STRASSE;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
204984;11;4;4051655;Babelsberger Straße;4501153;2018;9;6;7;3;2;4;1;0;1;1;1;0;0;0;794192,9915;5823101,373;13,33278256;52,47859944
204985;11;9;9020801;Spindlersfeld;9200818;2018;9;13;5;3;2;2;0;0;1;0;0;0;0;0;809766,258;5820692,624;13,55913616;52,44840314
204986;11;9;9041601;Müggelheim;9401635;2018;9;10;7;3;9;1;0;0;1;0;0;0;0;0;816639,205;5817422,433;13,65683667;52,41516359
204987;11;6;6030610;Lichterfelde West                                                                                   ;6300634;2018;9;12;3;3;2;6;0;0;1;0;0;0;0;0;792722,7029;5818026,423;13,30674597;52,43389348
204988;11;9;9052001;Köpenick Nord                                                                                       ;9502043;2018;9;18;7;2;4;6;0;0;1;0;0;0;0;0;810947,9805;5822194,848;13,57786735;52,46119463
204989;11;12;12231101;Hermsdorf;12400722;2018;9;14;5;3;9;1;0;0;1;0;0;0;0;0;790641,146;5837379,968;13,29312567;52,60850822
204990;11;1;1011105;Nördlicher Landwehrkanal                                                                            ;1100102;2018;9;12;3;3;5;2;0;1;1;0;0;0;0;0;796012,8981;5826207,685;13,36226119;52,50546151
204991;11;1;1033101;Soldiner Straße                                                                                     ;1300732;2018;9;18;7;3;6;4;0;0;0;1;0;0;1;0;797702,175;5832880,715;13,39305367;52,5643577
204992;11;7;7040405;Rathaus Tempelhof;7400927;2018;9;14;3;3;5;2;0;0;1;0;0;1;0;0;798896,8372;5821214,565;13,40014884;52,45913258
204993;11;4;4030726;Droysenstraße;4500936;2018;9;16;3;3;3;6;0;0;1;0;1;0;0;0;792294,0431;5825437,103;13,30695031;52,50055848
204994;11;5;5020524;Weinmeisterhornweg;5200528;2018;9;10;3;3;2;6;0;0;1;0;0;0;0;0;782927,3598;5826879,71;13,17056239;52,5184308
204995;11;6;6010207;Mittelstraße                                                                                        ;6100207;2018;9;18;7;3;5;2;0;0;1;0;0;0;0;0;794261,5308;5820263,25;13,33128615;52,45312007
204996;11;1;1011103;Lützowstraße                                                                                        ;1100103;2018;9;18;7;3;5;2;0;0;1;0;0;0;0;0;795182,2404;5825905,128;13,34979016;52,50319936
204997;11;4;4030620;Alt-Lietzow;4300619;2018;9;9;3;3;6;4;0;0;0;1;1;0;0;0;792261,3773;5827417,339;13,30820925;52,51832833
204998;11;1;1011402;Arkonaplatz;1100416;2018;9;17;7;3;5;7;0;0;1;0;1;0;0;0;798356,6387;5829696,818;13,39981963;52,53546033
204999;11;4;4051448;Schaperstraße;4501045;2018;9;16;7;3;5;2;0;1;1;0;0;0;0;0;793475,5207;5824733,03;13,32368527;52,49361264
205000;11;7;7010101;Wittenbergplatz/Viktoria-Luise-Platz;7100101;2018;9;9;3;3;0;1;0;0;1;0;1;0;0;0;794880,0835;5825575,622;13,34505972;52,50040893
205001;11;3;3061227;Humannplatz;3601243;2018;9;22;3;2;5;3;2;1;1;0;0;0;0;0;799689,3423;5831264,513;13,42082358;52,54878098
205002;11;2;2010104;Wassertorplatz;2100106;2018;9;16;7;3;2;6;0;1;1;0;0;0;0;0;799653,1206;5825662,495;13,41524354;52,49858766
205003;11;8;8020726;Buckow West;8200831;2018;9;21;3;3;5;3;2;1;0;0;0;0;1;0;800160,783;5817057,179;13,41496208;52,42117488
205004;11;8;8010214;Glasower Straße;8100209;2018;9;16;5;3;6;4;0;1;0;1;0;0;0;0;801849,756;5822383,831;13,44453579;52,46799003
205005;11;12;12103117;Letteplatz;12100101;2018;9;20;3;3;5;3;1;0;1;0;1;0;0;0;796265,7332;5832379,151;13,37147616;52,56064528
205006;11;2;2030402;Wrangelkiez;2300419;2018;9;15;7;3;5;3;0;1;1;0;0;0;0;0;801232,245;5825619,231;13,4383964;52,49733055
205007;11;8;8010212;Rollberg;8100207;2018;9;19;3;3;6;7;0;0;1;1;0;0;0;0;801306,5755;5823561,151;13,43762736;52,47884249
205008;11;5;5020627;Tiefwerder;5200632;2018;9;9;3;3;2;6;0;0;1;0;0;0;0;0;785599,7618;5828042,721;13,21083931;52,52746517
205009;11;4;4020209;Eichkamp;4200207;2018;9;15;7;2;0;1;0;1;0;0;0;0;0;0;789826,6761;5824917,558;13,27025173;52,49721675
205010;11;1;1011402;Arkonaplatz;1100416;2018;9;15;7;3;5;3;0;1;0;0;1;0;0;0;798126,5914;5829905,427;13,39662516;52,53745612
205011;11;1;1011301;Charitéviertel;1100308;2018;9;19;3;3;5;2;0;1;1;0;0;0;0;0;796941,4973;5828909,968;13,37831423;52,52917996
